id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
595685582537003311,Modern and Cozy-2 Bedrooms 1 Bathroom-Las Letras,452288513,Javier,Centro,Cortes,40.41248,-3.69849,Entire home/apt,151.0,1,86,2025-02-22,2.42,19,354,24,
15510022,Private B&B room in the centric & hipster Malasaña,12359504,Claudia,Centro,Universidad,40.42346,-3.70187,Private room,,3,85,2019-07-15,0.84,1,0,0,
1365072217243017633,Habitación en piso compartido,661816734,Felipe,Chamberí,Trafalgar,40.429393181780185,-3.702459463383027,Private room,27.0,30,0,,,58,274,0,
623324618200604719,Best Location In Madrid City I,229138489,Antonio,Salamanca,Recoletos,40.42188,-3.68908,Entire home/apt,565.0,3,5,2025-03-02,0.15,26,35,2,
28889883,Atocha City Centre WiFi-A/C-SmartTV,217782757,Airnaldo,Arganzuela,Palos de Moguer,40.40617,-3.69365,Entire home/apt,119.0,1,575,2025-02-22,7.37,6,285,76,
50522229,Quaint apartment of center Madrid,1771095,Hans Rudolf Georg,Centro,Embajadores,40.4108,-3.70166,Entire home/apt,122.0,28,101,2025-03-03,2.28,13,56,24,
35151407,BEST ROOM & PLACE TO STAY- MADRID MAIN CENTER,303845,Arturo,Centro,Justicia,40.419715881347656,-3.6976120471954346,Private room,64.0,1,107,2025-02-09,1.61,3,334,24,
36393316,Full apartment with free parking place!,25948109,Luis,Fuencarral - El Pardo,Valverde,40.49049,-3.69714,Entire home/apt,62.0,10,49,2025-03-05,0.75,1,100,9,000000
1146366509844319408,Bright &Renovated-1Bedroom 1Bath-Av. deAmerica,574990734,David,Chamartín,Prosperidad,40.44152,-3.6768,Entire home/apt,129.0,1,7,2025-02-22,0.71,16,45,7,
1298475442817341693,Homeclub | Exclusive apartment on Calle Alcalá,438136382,Home Club,Centro,Cortes,40.41654994847288,-3.6994853652771744,Entire home/apt,322.0,1,0,,,334,353,0,
19517706,Apto Atocha Renfe/Delicias,137075869,Carolina,Arganzuela,Palos de Moguer,40.40155,-3.68904,Entire home/apt,,2,2,2019-01-03,0.03,1,0,0,
18271284,Loft de diseño en zona norte de Madrid,126308580,Fernando,Hortaleza,Valdefuentes,40.48681,-3.66711,Entire home/apt,77.0,2,265,2025-03-09,2.85,2,215,78,
31856481,Cosy room in an Artsy house in La Latina-centro,57151808,Ribal,Centro,Embajadores,40.40878,-3.70896,Private room,,1,3,2023-03-28,0.12,1,310,0,
955672346018571929,Charm and Comfort Near the Bernabéu Stadium,528979463,Jose Manuel,Tetuán,Cuatro Caminos,40.4510798798973,-3.694286839137768,Entire home/apt,170.0,1,4,2023-12-19,0.24,4,144,0,xxx-1234
8267919,BEAUTIFUL ROOM IN MALASAÑA,18722274,Eva,Centro,Universidad,40.42591,-3.70598,Private room,40.0,4,59,2025-02-18,0.51,1,301,6,
34730250,Loft en Madrid,87292124,Juanma,Arganzuela,Imperial,40.41217,-3.7184,Entire home/apt,,2,0,,,1,0,0,
1085465113083185143,Donoso - RED APPLE,250507434,Amura Home,Chamberí,Arapiles,40.43569,-3.70829,Entire home/apt,89.0,3,22,2025-01-02,1.87,18,197,22,
1222930179994774531,Acogedora  habitacion en el Carabanchel Alto,125660595,Monica,Carabanchel,Buenavista,40.3732182142171,-3.7581874132245137,Private room,,3,3,2024-09-27,0.52,2,1,3,
